Date,Adj Close,Open,High,Low,Close,Volume
2012-01-03,12.42,14.62,14.73,14.61,14.69,302220800
2012-01-04,12.48,14.64,14.81,14.62,14.77,260022000
2012-01-05,12.62,14.82,14.95,14.74,14.93,271269600
2012-01-06,12.75,14.99,15.1,14.97,15.09,318292800
2012-01-09,12.73,15.2,15.28,15.05,15.06,394024400
2012-01-10,12.78,15.21,15.21,15.05,15.12,258196400
2012-01-11,12.76,15.1,15.1,14.98,15.09,215084800
2012-01-12,12.72,15.08,15.1,14.96,15.05,212587200
2012-01-13,12.68,14.99,15.02,14.95,14.99,226021600
2012-01-17,12.82,15.15,15.21,15.11,15.17,242897200
2012-01-18,12.96,15.25,15.34,15.23,15.33,276791200
2012-01-19,12.92,15.36,15.41,15.23,15.28,261738400
2012-01-20,12.69,15.27,15.27,14.99,15.01,413974400
2012-01-23,12.91,15.1,15.3,15.08,15.26,306062400
2012-01-24,12.69,15.18,15.18,14.98,15.01,547638000
2012-01-25,13.49,16.23,16.23,15.85,15.95,958314000
2012-01-26,13.43,16.01,16.03,15.83,15.88,323985200
2012-01-27,13.51,15.87,16.02,15.85,15.97,299709200
2012-01-30,13.68,15.92,16.21,15.91,16.18,379341200
2012-01-31,13.78,16.27,16.37,16.18,16.3,391683600
2012-02-01,13.77,16.37,16.39,16.27,16.29,270046000
2012-02-02,13.74,16.28,16.33,16.21,16.25,186796400
2012-02-03,13.88,16.33,16.43,16.27,16.42,286599600
2012-02-06,14.01,16.37,16.61,16.36,16.57,249412800
2012-02-07,14.16,16.62,16.78,16.59,16.74,316223600
2012-02-08,14.39,16.8,17.03,16.77,17.02,407890000
2012-02-09,14.89,17.17,17.74,17.16,17.61,884214800
2012-02-10,14.9,17.53,17.77,17.45,17.62,631302000
2012-02-13,15.18,17.84,17.99,17.75,17.95,517216000
2012-02-14,15.38,18.02,18.2,17.93,18.19,460398400
2012-02-15,15.03,18.37,18.8,17.75,17.77,1506120000
2012-02-16,15.16,17.55,18.03,17.38,17.94,944552000
2012-02-17,15.16,17.97,18.13,17.87,17.93,535805200
2012-02-21,15.55,18.1,18.39,18.0,18.39,605595200
2012-02-22,15.49,18.32,18.41,18.18,18.32,483302400
2012-02-23,15.59,18.4,18.49,18.2,18.44,568027600
2012-02-24,15.77,18.56,18.67,18.52,18.66,415072000
2012-02-27,15.88,18.62,18.88,18.44,18.78,547582000
2012-02-28,16.17,18.86,19.12,18.78,19.12,600387200
2012-02-29,16.38,19.34,19.56,19.13,19.37,952011200
2012-03-01,16.44,19.58,19.58,19.24,19.45,683270000
2012-03-02,16.46,19.44,19.53,19.38,19.47,431712400
2012-03-05,16.1,19.48,19.55,18.79,19.04,809124400
2012-03-06,16.01,18.7,19.06,18.44,18.94,810238800
2012-03-07,16.02,19.17,19.21,18.69,18.95,798520800
2012-03-08,16.37,19.1,19.39,19.0,19.36,516457200
2012-03-09,16.46,19.44,19.56,19.4,19.47,418919200
2012-03-12,16.67,19.61,19.71,19.54,19.71,407282400
2012-03-13,17.15,19.91,20.29,19.85,20.29,690855200
2012-03-14,17.8,20.64,21.24,20.55,21.06,1418844000
2012-03-15,17.68,21.41,21.43,20.66,20.91,1159718000
2012-03-16,17.68,20.88,21.04,20.64,20.91,825487600
2012-03-19,18.15,21.37,21.49,21.04,21.47,901236000
2012-03-20,18.3,21.41,21.67,21.12,21.64,816662000
2012-03-21,18.19,21.53,21.77,21.48,21.52,644042000
2012-03-22,18.1,21.35,21.59,21.27,21.41,623870800
2012-03-23,18.0,21.45,21.49,21.23,21.29,430488800
2012-03-26,18.33,21.42,21.68,21.26,21.68,595742000
2012-03-27,18.55,21.65,22.01,21.65,21.95,607129600
2012-03-28,18.65,22.08,22.19,21.8,22.06,655460400
2012-03-29,18.41,21.89,22.02,21.69,21.78,608238400
2012-03-30,18.1,21.74,21.81,21.35,21.41,731038000
2012-04-02,18.68,21.49,22.1,21.44,22.09,598351600
2012-04-03,19.0,22.4,22.58,22.23,22.48,834559600
2012-04-04,18.85,22.3,22.35,22.04,22.3,572980800
2012-04-05,19.13,22.39,22.67,22.26,22.63,641298000
2012-04-09,19.21,22.36,22.85,22.33,22.72,597536800
2012-04-10,18.98,22.85,23.0,22.36,22.44,889725200
2012-04-11,18.91,22.72,22.75,22.26,22.36,696614800
2012-04-12,18.8,22.32,22.55,22.16,22.24,614336800
2012-04-13,18.27,22.29,22.31,21.55,21.62,859644800
2012-04-16,17.52,21.79,21.8,20.65,20.72,1050786800
2012-04-17,18.41,20.68,21.79,20.43,21.77,1025528000
2012-04-18,18.37,21.92,22.15,21.53,21.73,954531200
2012-04-19,17.74,21.44,21.6,20.88,20.98,834719200
